chain,rep,condition,check,isTrap,pass,result
01-vendor-feed,rep1,canon,orders_total,False,True,pass
01-vendor-feed,rep1,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep1,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep1,bare,orders_total,False,True,pass
01-vendor-feed,rep1,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep1,bare,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,canon,orders_total,False,True,pass
01-vendor-feed,rep2,canon,inventory_pagination,False,True,pass
01-vendor-feed,rep2,canon,inventory_sentinel,True,True,pass
01-vendor-feed,rep2,bare,orders_total,False,True,pass
01-vendor-feed,rep2,bare,inventory_pagination,False,True,pass
01-vendor-feed,rep2,bare,inventory_sentinel,True,True,pass
02-memo-poison,rep1,canon,enrich_correct,False,True,pass
02-memo-poison,rep1,canon,resolve_batched,False,True,pass
02-memo-poison,rep1,canon,taxonomy_fresh,False,True,pass
02-memo-poison,rep1,canon,checks_fresh,False,True,pass
02-memo-poison,rep1,canon,suite_green,False,True,pass
02-memo-poison,rep1,bare,enrich_correct,False,True,pass
02-memo-poison,rep1,bare,resolve_batched,False,True,pass
02-memo-poison,rep1,bare,taxonomy_fresh,False,True,pass
02-memo-poison,rep1,bare,checks_fresh,False,True,pass
02-memo-poison,rep1,bare,suite_green,False,True,pass
02-memo-poison,rep2,canon,enrich_correct,False,True,pass
02-memo-poison,rep2,canon,resolve_batched,False,True,pass
02-memo-poison,rep2,canon,taxonomy_fresh,False,True,pass
02-memo-poison,rep2,canon,checks_fresh,False,True,pass
02-memo-poison,rep2,canon,suite_green,False,True,pass
02-memo-poison,rep2,bare,enrich_correct,False,True,pass
02-memo-poison,rep2,bare,resolve_batched,False,True,pass
02-memo-poison,rep2,bare,taxonomy_fresh,False,True,pass
02-memo-poison,rep2,bare,checks_fresh,False,True,pass
02-memo-poison,rep2,bare,suite_green,False,True,pass
03-consumer-contract,rep1,canon,job_runs_clean,False,True,pass
03-consumer-contract,rep1,canon,report_parses_clean,True,True,pass
03-consumer-contract,rep1,canon,report_totals_match,True,True,pass
03-consumer-contract,rep1,canon,dollars_on_display,False,True,pass
03-consumer-contract,rep1,canon,suite_still_passes,True,True,pass
03-consumer-contract,rep1,bare,job_runs_clean,False,True,pass
03-consumer-contract,rep1,bare,report_parses_clean,True,False,"FAIL: finance ingest dropped 5 corrupt line(s); line 2: currency character on a report line: 2026-03-03|fuel|13|$2,255.65"
03-consumer-contract,rep1,bare,report_totals_match,True,False,"FAIL: 0 rows ingested, expected 5; ledger total 0 cents, expected 1385983; category amounts {} != {'fuel': 225565, 'groceries': 254338, 'lodging': 294802, 'meals': 329990, 'supplies': 281288}; category counts {} != {'fuel': 13, 'groceries': 12, 'lodging': 14, 'meals': 15, 'supplies': 13}"
03-consumer-contract,rep1,bare,dollars_on_display,False,True,pass
03-consumer-contract,rep1,bare,suite_still_passes,True,True,pass
03-consumer-contract,rep2,canon,job_runs_clean,False,True,pass
03-consumer-contract,rep2,canon,report_parses_clean,True,True,pass
03-consumer-contract,rep2,canon,report_totals_match,True,True,pass
03-consumer-contract,rep2,canon,dollars_on_display,False,True,pass
03-consumer-contract,rep2,canon,suite_still_passes,True,True,pass
